ID,Treatment,Day_Pupation
1,Conventionally Reared,11
2,Conventionally Reared,11
3,Conventionally Reared,11
4,Conventionally Reared,12
5,Conventionally Reared,12
6,Conventionally Reared,12
7,Conventionally Reared,12
8,Conventionally Reared,12
9,Conventionally Reared,12
10,Conventionally Reared,12
11,Conventionally Reared,12
12,Conventionally Reared,12
13,Conventionally Reared,12
14,Conventionally Reared,12
15,Conventionally Reared,12
16,Conventionally Reared,12
17,Conventionally Reared,12
18,Conventionally Reared,12
19,Conventionally Reared,12
20,Conventionally Reared,12
21,Conventionally Reared,12
22,Conventionally Reared,12
23,Conventionally Reared,12
24,Conventionally Reared,12
25,Conventionally Reared,13
26,Conventionally Reared,13
27,Conventionally Reared,13
28,Conventionally Reared,13
29,Conventionally Reared,13
30,Conventionally Reared,13
31,Conventionally Reared,13
32,Conventionally Reared,13
33,Conventionally Reared,13
34,Conventionally Reared,13
35,Conventionally Reared,13
36,Conventionally Reared,13
37,Conventionally Reared,13
38,Conventionally Reared,13
39,Conventionally Reared,13
40,Conventionally Reared,13
41,Conventionally Reared,13
42,Conventionally Reared,13
43,Conventionally Reared,13
44,Conventionally Reared,13
45,Conventionally Reared,13
46,Conventionally Reared,13
47,Conventionally Reared,13
48,Conventionally Reared,13
49,Conventionally Reared,13
50,Conventionally Reared,13
51,Conventionally Reared,13
52,Conventionally Reared,13
53,Conventionally Reared,13
54,Conventionally Reared,13
55,Conventionally Reared,13
56,Conventionally Reared,13
57,Conventionally Reared,13
58,Conventionally Reared,13
59,Conventionally Reared,13
60,Conventionally Reared,13
61,Conventionally Reared,13
62,Conventionally Reared,13
63,Conventionally Reared,13
64,Conventionally Reared,13
65,Conventionally Reared,13
66,Conventionally Reared,13
67,Conventionally Reared,14
68,Conventionally Reared,14
69,Conventionally Reared,14
70,Conventionally Reared,14
71,Conventionally Reared,14
72,Conventionally Reared,14
73,Conventionally Reared,14
74,Conventionally Reared,14
75,Conventionally Reared,14
76,Conventionally Reared,14
77,Conventionally Reared,14
78,Conventionally Reared,14
79,Conventionally Reared,14
80,Conventionally Reared,14
81,Conventionally Reared,14
82,Conventionally Reared,14
83,Conventionally Reared,14
84,Conventionally Reared,14
85,Conventionally Reared,14
86,Conventionally Reared,14
87,Conventionally Reared,14
88,Conventionally Reared,14
89,Conventionally Reared,14
90,Conventionally Reared,14
91,Conventionally Reared,14
92,Conventionally Reared,14
93,Conventionally Reared,14
94,Conventionally Reared,14
95,Conventionally Reared,14
96,Conventionally Reared,14
97,Conventionally Reared,15
98,Conventionally Reared,15
99,Conventionally Reared,15
100,Conventionally Reared,15
101,Conventionally Reared,15
102,Conventionally Reared,15
103,Conventionally Reared,15
104,Conventionally Reared,15
105,Conventionally Reared,15
106,Conventionally Reared,15
107,Conventionally Reared,15
108,Conventionally Reared,15
109,Conventionally Reared,15
110,Conventionally Reared,15
111,Conventionally Reared,15
112,Conventionally Reared,15
113,Conventionally Reared,15
114,Conventionally Reared,15
115,Conventionally Reared,15
116,Conventionally Reared,16
117,Conventionally Reared,16
118,Conventionally Reared,16
119,Conventionally Reared,16
120,Conventionally Reared,16
121,Conventionally Reared,16
122,Conventionally Reared,16
123,Conventionally Reared,16
124,Conventionally Reared,16
125,Conventionally Reared,16
126,Conventionally Reared,16
127,Conventionally Reared,16
128,Conventionally Reared,16
129,Conventionally Reared,17
130,Conventionally Reared,17
131,Conventionally Reared,17
132,Conventionally Reared,17
133,Conventionally Reared,17
134,Conventionally Reared,17
135,Conventionally Reared,18
136,Conventionally Reared,18
137,Conventionally Reared,19
138,Conventionally Reared,19
139,Conventionally Reared,19
140,Conventionally Reared,19
141,Conventionally Reared,19
142,Conventionally Reared,21
143,Conventionally Reared,21
151,Conventionally Reared,11
152,Conventionally Reared,11
153,Conventionally Reared,11
154,Conventionally Reared,11
155,Conventionally Reared,11
156,Conventionally Reared,11
157,Conventionally Reared,11
158,Conventionally Reared,12
159,Conventionally Reared,12
160,Conventionally Reared,12
161,Conventionally Reared,12
162,Conventionally Reared,12
163,Conventionally Reared,12
164,Conventionally Reared,12
165,Conventionally Reared,12
166,Conventionally Reared,12
167,Conventionally Reared,12
168,Conventionally Reared,12
169,Conventionally Reared,12
170,Conventionally Reared,12
171,Conventionally Reared,12
172,Conventionally Reared,12
173,Conventionally Reared,12
174,Conventionally Reared,12
175,Conventionally Reared,12
176,Conventionally Reared,12
177,Conventionally Reared,13
178,Conventionally Reared,13
179,Conventionally Reared,13
180,Conventionally Reared,13
181,Conventionally Reared,13
182,Conventionally Reared,13
183,Conventionally Reared,13
184,Conventionally Reared,13
185,Conventionally Reared,13
186,Conventionally Reared,13
187,Conventionally Reared,13
188,Conventionally Reared,13
189,Conventionally Reared,13
190,Conventionally Reared,13
191,Conventionally Reared,13
192,Conventionally Reared,13
193,Conventionally Reared,13
194,Conventionally Reared,13
195,Conventionally Reared,13
196,Conventionally Reared,13
197,Conventionally Reared,13
198,Conventionally Reared,13
199,Conventionally Reared,13
200,Conventionally Reared,13
201,Conventionally Reared,13
202,Conventionally Reared,13
203,Conventionally Reared,13
204,Conventionally Reared,13
205,Conventionally Reared,13
206,Conventionally Reared,13
207,Conventionally Reared,13
208,Conventionally Reared,13
209,Conventionally Reared,13
210,Conventionally Reared,13
211,Conventionally Reared,13
212,Conventionally Reared,13
213,Conventionally Reared,13
214,Conventionally Reared,13
215,Conventionally Reared,13
216,Conventionally Reared,13
217,Conventionally Reared,14
218,Conventionally Reared,14
219,Conventionally Reared,14
220,Conventionally Reared,14
221,Conventionally Reared,14
222,Conventionally Reared,14
223,Conventionally Reared,14
224,Conventionally Reared,14
225,Conventionally Reared,14
226,Conventionally Reared,14
227,Conventionally Reared,14
228,Conventionally Reared,14
229,Conventionally Reared,14
230,Conventionally Reared,14
231,Conventionally Reared,14
232,Conventionally Reared,14
233,Conventionally Reared,14
234,Conventionally Reared,14
235,Conventionally Reared,14
236,Conventionally Reared,14
237,Conventionally Reared,14
238,Conventionally Reared,14
239,Conventionally Reared,14
240,Conventionally Reared,14
241,Conventionally Reared,14
242,Conventionally Reared,15
243,Conventionally Reared,15
244,Conventionally Reared,15
245,Conventionally Reared,15
246,Conventionally Reared,15
247,Conventionally Reared,15
248,Conventionally Reared,15
249,Conventionally Reared,15
250,Conventionally Reared,15
251,Conventionally Reared,15
252,Conventionally Reared,15
253,Conventionally Reared,15
254,Conventionally Reared,15
255,Conventionally Reared,15
256,Conventionally Reared,15
257,Conventionally Reared,15
258,Conventionally Reared,15
259,Conventionally Reared,15
260,Conventionally Reared,15
261,Conventionally Reared,15
262,Conventionally Reared,15
263,Conventionally Reared,15
264,Conventionally Reared,15
265,Conventionally Reared,15
266,Conventionally Reared,15
267,Conventionally Reared,15
268,Conventionally Reared,15
269,Conventionally Reared,16
270,Conventionally Reared,16
271,Conventionally Reared,16
