Genus,Day_Pupation_27
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
C. pseudoglaebosa,NA
Chromobacterium,15
Chromobacterium,15
Chromobacterium,15
Chromobacterium,15
Chromobacterium,16
Chromobacterium,16
Chromobacterium,16
Chromobacterium,16
Chromobacterium,16
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,17
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,18
Chromobacterium,19
Chromobacterium,19
Chromobacterium,19
Chromobacterium,19
Chromobacterium,19
Chromobacterium,19
Chromobacterium,19
Chromobacterium,20
Chromobacterium,20
Chromobacterium,20
Chromobacterium,21
Chromobacterium,21
Chromobacterium,21
Chromobacterium,21
Chromobacterium,21
Chromobacterium,21
Chromobacterium,21
Chromobacterium,21
Chromobacterium,21
Chromobacterium,22
Chromobacterium,22
Chromobacterium,22
Chromobacterium,22
Chromobacterium,22
Chromobacterium,23
Chromobacterium,24
Chromobacterium,24
Chromobacterium,24
Chromobacterium,24
Chromobacterium,25
Chromobacterium,25
Chromobacterium,25
Chromobacterium,26
Chromobacterium,26
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
Chromobacterium,NA
E.coli K12,15
E.coli K12,15
E.coli K12,16
E.coli K12,16
E.coli K12,17
E.coli K12,17
E.coli K12,17
E.coli K12,17
E.coli K12,17
E.coli K12,17
E.coli K12,17
E.coli K12,17
E.coli K12,18
E.coli K12,18
E.coli K12,18
E.coli K12,18
E.coli K12,18
E.coli K12,18
E.coli K12,18
E.coli K12,19
E.coli K12,19
E.coli K12,19
E.coli K12,19
E.coli K12,19
E.coli K12,19
E.coli K12,20
E.coli K12,20
E.coli K12,20
E.coli K12,20
E.coli K12,20
E.coli K12,20
E.coli K12,20
E.coli K12,20
E.coli K12,21
E.coli K12,21
E.coli K12,21
E.coli K12,21
E.coli K12,21
E.coli K12,21
E.coli K12,22
E.coli K12,22
E.coli K12,22
E.coli K12,22
E.coli K12,22
E.coli K12,22
E.coli K12,23
E.coli K12,23
E.coli K12,23
E.coli K12,24
E.coli K12,24
E.coli K12,24
E.coli K12,24
E.coli K12,24
E.coli K12,24
E.coli K12,24
E.coli K12,25
E.coli K12,25
E.coli K12,25
E.coli K12,25
E.coli K12,25
E.coli K12,26
E.coli K12,26
E.coli K12,27
E.coli K12,27
E.coli K12,27
E.coli K12,27
E.coli K12,27
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
E.coli K12,NA
Elizabethkingia,14
Elizabethkingia,15
Elizabethkingia,15
Elizabethkingia,16
Elizabethkingia,16
Elizabethkingia,16
Elizabethkingia,16
Elizabethkingia,16
Elizabethkingia,16
Elizabethkingia,17
Elizabethkingia,17
Elizabethkingia,17
Elizabethkingia,17
Elizabethkingia,17
Elizabethkingia,17
Elizabethkingia,18
Elizabethkingia,18
Elizabethkingia,18
Elizabethkingia,18
Elizabethkingia,18
Elizabethkingia,19
Elizabethkingia,19
Elizabethkingia,19
Elizabethkingia,19
Elizabethkingia,19
Elizabethkingia,20
Elizabethkingia,20
Elizabethkingia,20
Elizabethkingia,20
Elizabethkingia,20
Elizabethkingia,21
Elizabethkingia,23
Elizabethkingia,23
Elizabethkingia,23
Elizabethkingia,24
Elizabethkingia,24
Elizabethkingia,24
Elizabethkingia,24
Elizabethkingia,24
Elizabethkingia,25
Elizabethkingia,25
Elizabethkingia,25
Elizabethkingia,27
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Elizabethkingia,NA
Native microbiota,13
Native microbiota,14
Native microbiota,14
Native microbiota,14
Native microbiota,14
Native microbiota,14
Native microbiota,14
Native microbiota,14
Native microbiota,14
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,15
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,16
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,17
Native microbiota,18
Native microbiota,18
Native microbiota,18
Native microbiota,18
Native microbiota,18
Native microbiota,18
Native microbiota,18
Native microbiota,18
Native microbiota,18
Native microbiota,19
Native microbiota,19
Native microbiota,19
Native microbiota,19
Native microbiota,19
Native microbiota,19
Native microbiota,20
Native microbiota,21
Native microbiota,21
Native microbiota,22
Native microbiota,22
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Native microbiota,NA
Paraburkholderia,14
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,15
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,16
Paraburkholderia,17
Paraburkholderia,17
Paraburkholderia,17
Paraburkholderia,17
Paraburkholderia,17
Paraburkholderia,17
Paraburkholderia,17
Paraburkholderia,18
Paraburkholderia,18
Paraburkholderia,18
Paraburkholderia,18
