Type,Sample_Type,Kingdom,Phylum,Class,Order,value
larvae,,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
larvae,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.400632188
larvae,,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
larvae,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0
larvae,,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
larvae,,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0
larvae,,Bacteria,Firmicutes,Bacilli,Bacillales,0.093617594
larvae,,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
larvae,,Bacteria,Firmicutes,Clostridia,Clostridiales,0.036787948
larvae,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
larvae,,Other,Other,Other,Other,0.037594996
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.431367274
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
larvae,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0
larvae,,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
larvae,,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
water,,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
water,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.088280294
water,,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
water,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.078258874
water,,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
water,,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.161490208
water,,Bacteria,Firmicutes,Bacilli,Bacillales,0.09248776
water,,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
water,,Bacteria,Firmicutes,Clostridia,Clostridiales,0
water,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
water,,Other,Other,Other,Other,0.040468176
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0.168910649
